query-id	corpus-id	score
0	4	1
0	5	1
0	11	1
2	0	1
2	1	1
2	5	1
3	0	1
3	5	1
3	6	1
3	11	1
4	4	1
4	5	1
4	11	1
9	2	1
9	5	1
9	7	1
9	8	1
9	11	1
10	2	1
10	5	1
10	11	1
10	12	1
14	4	1
14	5	1
14	11	1
15	4	1
15	5	1
15	11	1
16	4	1
16	5	1
16	11	1
17	2	1
17	5	1
17	11	1
18	2	1
18	5	1
20	0	1
20	2	1
20	4	1
20	5	1
21	4	1
21	5	1
21	11	1
24	0	1
24	2	1
24	4	1
24	5	1
25	5	1
25	6	1
25	11	1
29	1	1
29	5	1
29	11	1
30	4	1
30	5	1
31	2	1
31	5	1
31	11	1
32	4	1
32	5	1
32	11	1
34	0	1
34	2	1
34	5	1
34	6	1
36	2	1
36	4	1
36	5	1
36	9	1
36	11	1
37	2	1
37	4	1
37	5	1
38	5	1
39	2	1
39	4	1
39	5	1
39	8	1
41	5	1
41	8	1
41	11	1
42	4	1
42	5	1
42	11	1
46	5	1
46	10	1
47	0	1
47	2	1
47	4	1
47	5	1
47	9	1
47	11	1
49	2	1
49	5	1
49	11	1
51	4	1
51	5	1
51	11	1
52	1	1
52	2	1
52	4	1
52	5	1
53	4	1
53	5	1
53	11	1
60	0	1
60	2	1
60	5	1
60	11	1
61	4	1
61	5	1
61	11	1
63	2	1
63	4	1
63	5	1
63	9	1
64	4	1
64	5	1
65	2	1
65	5	1
65	8	1
65	11	1
66	4	1
66	5	1
66	8	1
67	0	1
67	4	1
67	5	1
67	9	1
67	10	1
67	11	1
69	4	1
69	5	1
69	6	1
69	11	1
72	2	1
72	4	1
72	5	1
73	0	1
73	2	1
73	5	1
73	7	1
73	8	1
73	11	1
74	0	1
74	4	1
74	5	1
74	11	1
75	4	1
75	5	1
76	4	1
76	5	1
76	7	1
76	11	1
78	1	1
78	2	1
78	5	1
78	8	1
78	11	1
79	2	1
79	4	1
79	5	1
79	7	1
80	4	1
80	5	1
80	11	1
81	4	1
81	5	1
81	8	1
82	1	1
82	5	1
83	0	1
83	4	1
83	5	1
83	8	1
83	11	1
84	4	1
84	5	1
84	11	1
85	4	1
85	5	1
85	11	1
86	2	1
86	5	1
86	11	1
87	2	1
87	4	1
87	5	1
87	10	1
87	11	1
88	0	1
88	2	1
88	5	1
88	9	1
90	2	1
90	4	1
90	5	1
91	0	1
91	5	1
91	12	1
92	2	1
92	5	1
92	8	1
92	10	1
92	11	1
94	5	1
94	6	1
94	11	1
95	2	1
95	4	1
95	5	1
95	13	1
96	4	1
96	5	1
96	11	1
98	5	1
98	6	1
98	11	1
99	4	1
99	5	1
99	11	1
100	4	1
100	5	1
100	10	1
100	11	1
101	2	1
101	5	1
101	11	1
102	4	1
102	5	1
102	8	1
102	11	1
104	2	1
104	5	1
104	9	1
105	4	1
105	5	1
105	12	1
106	4	1
106	5	1
109	0	1
109	2	1
109	4	1
109	5	1
109	14	1
110	2	1
110	5	1
110	6	1
111	1	1
111	2	1
111	5	1
111	11	1
112	0	1
112	4	1
112	5	1
113	5	1
113	10	1
113	11	1
115	1	1
115	2	1
115	4	1
115	5	1
116	2	1
116	5	1
116	7	1
117	4	1
117	5	1
117	11	1
118	5	1
118	10	1
118	11	1
119	4	1
119	5	1
119	8	1
120	5	1
120	6	1
121	0	1
121	2	1
121	5	1
122	0	1
122	2	1
122	5	1
122	11	1
122	13	1
123	5	1
123	6	1
123	11	1
125	4	1
125	5	1
125	11	1
126	4	1
126	5	1
126	11	1
127	1	1
127	5	1
127	7	1
127	8	1
127	10	1
128	2	1
128	4	1
128	5	1
128	11	1
130	5	1
130	6	1
130	11	1
131	0	1
131	1	1
131	5	1
131	8	1
131	11	1
132	4	1
132	5	1
132	11	1
133	4	1
133	5	1
134	1	1
134	5	1
134	11	1
135	1	1
135	2	1
135	4	1
135	5	1
135	6	1
136	0	1
136	2	1
136	4	1
136	5	1
137	0	1
137	2	1
137	5	1
138	4	1
138	5	1
140	5	1
140	10	1
142	4	1
142	5	1
142	10	1
143	2	1
143	4	1
143	5	1
143	11	1
144	2	1
144	5	1
144	7	1
146	2	1
146	5	1
146	7	1
146	8	1
146	11	1
147	0	1
147	2	1
147	5	1
147	11	1
147	12	1
148	2	1
148	4	1
148	5	1
148	6	1
150	0	1
150	2	1
150	4	1
150	5	1
150	11	1
152	0	1
152	3	1
152	11	1
153	0	1
153	11	1
155	0	1
155	4	1
155	8	1
155	11	1
156	0	1
156	3	1
156	4	1
156	11	1
159	0	1
159	4	1
159	8	1
159	11	1
160	0	1
160	4	1
160	11	1
161	0	1
161	4	1
161	11	1
163	0	1
163	4	1
163	11	1
164	0	1
164	4	1
164	8	1
164	11	1
165	4	1
165	8	1
165	11	1
166	0	1
166	4	1
166	11	1
167	0	1
167	4	1
167	11	1
168	0	1
168	3	1
168	11	1
169	0	1
169	3	1
169	11	1
171	6	1
171	11	1
173	4	1
173	11	1
174	0	1
174	1	1
174	11	1
175	0	1
175	4	1
175	11	1
177	0	1
177	4	1
177	11	1
179	0	1
179	3	1
179	11	1
180	0	1
180	1	1
180	3	1
180	11	1
182	0	1
182	3	1
182	11	1
184	0	1
184	4	1
184	11	1
185	0	1
185	4	1
185	8	1
185	11	1
186	0	1
186	4	1
186	11	1
187	0	1
187	4	1
187	11	1
188	0	1
188	1	1
188	11	1
189	0	1
189	1	1
189	11	1
190	0	1
190	11	1
191	0	1
191	4	1
191	7	1
191	11	1
192	3	1
192	5	1
192	11	1
193	0	1
193	3	1
193	11	1
194	0	1
194	3	1
194	11	1
196	0	1
196	4	1
196	11	1
198	0	1
198	4	1
198	6	1
198	11	1
200	0	1
200	4	1
200	6	1
200	11	1
201	4	1
201	11	1
202	0	1
202	11	1
203	0	1
203	3	1
203	11	1
204	0	1
204	4	1
204	11	1
205	0	1
205	3	1
205	11	1
206	0	1
206	4	1
206	11	1
207	0	1
207	4	1
207	11	1
209	0	1
209	4	1
209	11	1
212	0	1
212	4	1
212	11	1
213	8	1
213	11	1
214	0	1
214	1	1
214	11	1
215	0	1
215	4	1
215	11	1
217	0	1
217	4	1
217	8	1
217	11	1
219	0	1
219	4	1
219	11	1
225	0	1
225	4	1
225	11	1
226	0	1
226	4	1
226	11	1
227	0	1
227	3	1
227	11	1
228	0	1
228	3	1
228	5	1
228	11	1
229	0	1
229	4	1
229	8	1
229	11	1
230	0	1
230	11	1
233	0	1
233	1	1
233	3	1
233	11	1
234	0	1
234	11	1
235	0	1
235	4	1
235	6	1
235	11	1
236	0	1
236	4	1
236	5	1
236	11	1
237	0	1
237	1	1
237	11	1
239	0	1
239	4	1
239	11	1
241	0	1
241	4	1
241	6	1
241	11	1
242	0	1
242	3	1
242	11	1
243	0	1
243	4	1
243	5	1
243	11	1
248	0	1
248	3	1
248	11	1
249	0	1
249	4	1
249	6	1
